 ✔ Container stash Running                                                                                                     0.0s
Attaching to stash
stash  | INFO[2026-04-23 19:03:00] Finished updating packages                   
stash  | 2026-04-23T19:03:00.543837784-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000166","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":592,"elapsed":11.588196,"status":200} service=stash
stash  | 2026-04-23T19:03:00.564384963-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54145","requestID":"438a9a6f1e38/hcstIKcZuT-000167","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":332,"elapsed":21.05227,"status":200} service=stash
stash  | 2026-04-23T19:03:00.606082693-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54148","requestID":"438a9a6f1e38/hcstIKcZuT-000168","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":649,"elapsed":18.680596,"status":200} service=stash
stash  | 2026-04-23T19:03:00.819527123-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000169","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":592,"elapsed":2.179433,"status":200} service=stash
stash  | 2026-04-23T19:03:00.827830941-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54145","requestID":"438a9a6f1e38/hcstIKcZuT-000170","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":332,"elapsed":2.756254,"status":200} service=stash
stash  | 2026-04-23T19:03:00.840975414-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54148","requestID":"438a9a6f1e38/hcstIKcZuT-000171","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":649,"elapsed":15.60876,"status":200} service=stash
stash  | 2026-04-23T19:03:01.476352269-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000172","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":293,"elapsed":0.152359,"status":200} service=stash
stash  | 2026-04-23T19:03:01.49546252-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000173","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":592,"elapsed":0.560663,"status":200} service=stash
stash  | 2026-04-23T19:03:01.500085914-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54145","requestID":"438a9a6f1e38/hcstIKcZuT-000175","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":332,"elapsed":1.504393,"status":200} service=stash
stash  | 2026-04-23T19:03:01.512624655-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54148","requestID":"438a9a6f1e38/hcstIKcZuT-000174","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":649,"elapsed":14.11738,"status":200} service=stash
stash  | 2026-04-23T19:03:02.491319702-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000176","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":293,"elapsed":0.645411,"status":200} service=stash
stash  | 2026-04-23T19:03:03.50520427-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000177","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":293,"elapsed":0.259615,"status":200} service=stash
stash  | 2026-04-23T19:03:04.517959793-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000178","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":293,"elapsed":0.658397,"status":200} service=stash
stash  | 2026-04-23T19:03:05.526560701-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000179","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":293,"elapsed":0.450931,"status":200} service=stash
